日期,平台,站点,店铺,广告活动,广告组,关键词,匹配方式,SKU,曝光,点击,花费,订单数,销量,广告销售额,币种
2026-09-07,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,9363,244,1131.01,4,4,1716,MXN
2026-09-07,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5576,150,693.2,2,2,858,MXN
2026-09-08,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,20627,384,527.2,13,14,2786,MXN
2026-09-08,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,11749,243,323.12,6,6,1194,MXN
2026-09-08,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,13907,396,2372.23,11,12,7788,MXN
2026-09-08,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,8396,243,1453.95,8,8,5192,MXN
2026-09-08,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,12251,311,366.64,6,6,1554,MXN
2026-09-08,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,7526,192,224.72,4,4,1036,MXN
2026-09-08,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,8516,247,1399.3,5,5,2145,MXN
2026-09-08,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5759,160,857.64,3,3,1287,MXN
2026-09-09,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,19230,537,668.83,16,17,3383,MXN
2026-09-09,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,11495,372,409.93,10,11,2189,MXN
2026-09-09,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,13820,330,1950.77,13,13,8437,MXN
2026-09-09,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,9698,190,1195.64,7,7,4543,MXN
2026-09-09,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,12654,292,389.74,8,8,2072,MXN
2026-09-09,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,7530,197,238.88,4,4,1036,MXN
2026-09-09,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,7877,174,823.72,3,3,1287,MXN
2026-09-09,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5101,111,504.86,2,2,858,MXN
2026-09-10,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,18716,593,696.83,14,14,2786,MXN
2026-09-10,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,10500,339,427.09,10,10,1990,MXN
2026-09-10,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,16216,385,2095.07,14,14,9086,MXN
2026-09-10,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,8696,237,1284.07,9,10,6490,MXN
2026-09-10,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,12225,259,324.68,6,6,1554,MXN
2026-09-10,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,7830,153,198.99,3,3,777,MXN
2026-09-10,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,8621,263,1341.03,4,4,1716,MXN
2026-09-10,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,4913,150,821.92,3,3,1287,MXN
2026-09-11,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,20077,347,474.54,10,10,1990,MXN
2026-09-11,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,11762,230,290.84,5,5,995,MXN
2026-09-11,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,13873,286,1459.12,10,10,6490,MXN
2026-09-11,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,9080,182,894.3,5,5,3245,MXN
2026-09-11,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,12514,230,285.62,5,5,1295,MXN
2026-09-11,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,7107,127,175.06,3,3,777,MXN
2026-09-11,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,7883,261,1478.51,5,5,2145,MXN
2026-09-11,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,5067,169,906.19,3,3,1287,MXN
2026-09-12,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,23915,469,677.1,16,16,3184,MXN
2026-09-12,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,15004,273,414.99,9,9,1791,MXN
2026-09-12,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,21521,605,3402.38,18,19,12331,MXN
2026-09-12,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,12074,384,2085.33,14,15,9735,MXN
2026-09-12,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,14370,474,608.23,11,12,3108,MXN
2026-09-12,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,10066,285,372.79,6,6,1554,MXN
2026-09-12,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,11407,329,1794.42,6,6,2574,MXN
2026-09-12,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,6767,187,1099.8,3,3,1287,MXN
2026-09-13,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,22064,447,526.82,10,11,2189,MXN
2026-09-13,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,14886,251,322.89,7,7,1393,MXN
2026-09-13,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,18085,323,2046.17,12,13,8437,MXN
2026-09-13,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,10812,215,1254.11,8,8,5192,MXN
2026-09-13,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,12389,371,457.78,10,10,2590,MXN
2026-09-13,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,8019,232,280.57,6,6,1554,MXN
2026-09-13,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,11984,314,1545.66,6,6,2574,MXN
2026-09-13,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,7943,181,947.34,3,3,1287,MXN
2026-09-14,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,20325,480,521.61,11,11,2189,MXN
2026-09-14,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,13175,277,319.69,7,7,1393,MXN
2026-09-14,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,16569,487,2821.32,17,19,12331,MXN
2026-09-14,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,10602,320,1729.2,11,12,7788,MXN
2026-09-14,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,10361,222,270.68,5,5,1295,MXN
2026-09-14,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,6575,131,165.9,3,3,777,MXN
2026-09-14,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,10850,184,977.85,3,3,1287,MXN
2026-09-14,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,6380,131,599.33,2,2,858,MXN
2026-09-15,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,21994,515,624.48,16,16,3184,MXN
2026-09-15,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,14271,306,382.74,7,7,1393,MXN
2026-09-15,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,15174,339,1670.66,9,9,5841,MXN
2026-09-15,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,9282,191,1023.95,5,5,3245,MXN
2026-09-15,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,12902,350,424.81,8,8,2072,MXN
2026-09-15,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,7922,191,260.37,4,4,1036,MXN
2026-09-15,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,10278,291,1663.44,5,5,2145,MXN
2026-09-15,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,7318,180,1019.53,4,4,1716,MXN
